name,birthday,nationality
Joaquin Phoenix,1974-10-28,USA
Jake Gyllenhaal,1980-12-19,USA
Matthew McConaughey,1969-11-04,USA
Chris Pratt,1979-06-21,USA
Charlize Theron,1975-08-07,South African/USA
Amy Adams,1974-08-20,USA
Gal Gadot,1985-04-30,Israeli
Zoe Saldana,1978-06-19,USA
Ryan Gosling,1980-11-12,Canadian
Tom Hardy,1977-09-15,British
Brie Larson,1989-10-01,USA
Margot Robbie,1990-07-02,Australian
Vin Diesel,1967-07-18,USA
Idris Elba,1972-09-06,British
Javier Bardem,1969-03-01,Spanish
Emma Watson,1990-04-15,British
Halle Berry,1966-08-14,USA
Jessica Chastain,1977-03-24,USA
Saoirse Ronan,1994-04-12,Irish/USA
Timothée Chalamet,1995-12-27,USA
Daniel Craig,1968-03-02,British
Mahershala Ali,1974-02-16,USA